Gene stable ID,Gene name,Gene start (bp),Gene end (bp),Chromosome/scaffold name,Gene type
ENSG00000185010,F8,154835788,155026940,X,protein_coding
ENSG00000228717,NAB1P1,151226229,151227715,X,processed_pseudogene
ENSG00000215054,HNRNPCP10,144840777,144841660,X,processed_pseudogene
ENSG00000227183,HDGFP1,131646639,131646890,X,processed_pseudogene
ENSG00000183631,PRR32,126819729,126821786,X,protein_coding
ENSG00000224314,TCERG1P1,117399452,117400081,X,processed_pseudogene
ENSG00000271211,,120962087,120962339,X,processed_pseudogene
ENSG00000235699,CXorf51B,146809771,146810411,X,protein_coding
ENSG00000155966,AFF2,148500617,149000663,X,protein_coding
ENSG00000213652,HMGB3P30,112689915,112690520,X,processed_pseudogene
ENSG00000198889,DCAF12L1,126549383,126552814,X,protein_coding
ENSG00000213526,SETP8,116963049,116963676,X,processed_pseudogene
ENSG00000230823,CBX1P1,63299247,63299673,X,processed_pseudogene
ENSG00000234288,OR1AA1P,131424301,131425239,X,unprocessed_pseudogene
ENSG00000182890,GLUD2,121047610,121050094,X,protein_coding
ENSG00000287098,,40620701,40622109,X,lncRNA
ENSG00000234592,TJAP1P1,129041536,129043183,X,processed_pseudogene
ENSG00000234785,EEF1GP5,115702811,115704120,X,processed_pseudogene
ENSG00000226802,RUVBL2P1,128440929,128441785,X,processed_pseudogene
ENSG00000238066,,117397938,117398206,X,processed_pseudogene
ENSG00000287379,,121065882,121078538,X,lncRNA
ENSG00000285547,,72301691,72572843,X,protein_coding
ENSG00000271346,,120876552,120876805,X,processed_pseudogene
ENSG00000235991,,155137111,155156503,X,unprocessed_pseudogene
ENSG00000232249,,153355733,153355956,X,unprocessed_pseudogene
ENSG00000238223,,115063936,115064794,X,processed_pseudogene
ENSG00000224978,CD84P1,155212921,155213638,X,processed_pseudogene
ENSG00000225858,MATR3P1,72660470,72660719,X,processed_pseudogene
ENSG00000156920,ADGRG4,136300963,136416890,X,protein_coding
ENSG00000235892,PKMP2,66497748,66499424,X,processed_pseudogene
ENSG00000229979,HMGN2P48,153052150,153052413,X,processed_pseudogene
ENSG00000233254,RPL21P134,75384346,75384828,X,processed_pseudogene
ENSG00000155961,RAB39B,155258235,155264491,X,protein_coding
ENSG00000227505,SLIRPP1,147801005,147801302,X,processed_pseudogene
ENSG00000186310,NAP1L3,93670930,93673578,X,protein_coding
ENSG00000237860,SLC6A14P2,116688870,116690185,X,unprocessed_pseudogene
ENSG00000189372,,108383398,108383993,X,unprocessed_pseudogene
ENSG00000236077,SLC6A14P1,116669810,116680303,X,unprocessed_pseudogene
ENSG00000229145,ACTBP1,46288016,46289128,X,processed_pseudogene
ENSG00000228855,,147591612,147591909,X,processed_pseudogene
ENSG00000229082,OR5AW1P,131341570,131342425,X,unprocessed_pseudogene
ENSG00000204019,CT83,116461686,116462976,X,protein_coding
ENSG00000236413,,91422309,91422538,X,processed_pseudogene
ENSG00000229733,,123558350,123558584,X,processed_pseudogene
ENSG00000237225,OR13K1P,131562729,131563846,X,unprocessed_pseudogene
ENSG00000203926,SPANXA2,141589708,141590762,X,protein_coding
ENSG00000207435,RNU6-114P,3572857,3572961,X,snRNA
ENSG00000207628,MIR651,8126965,8127061,X,miRNA
ENSG00000252291,,6061644,6061749,X,snoRNA
ENSG00000212214,SNORA48B,3532117,3532251,X,snoRNA
ENSG00000207151,Y_RNA,11116092,11116193,X,misc_RNA
ENSG00000207320,Y_RNA,3641443,3641555,X,misc_RNA
ENSG00000201660,,5410122,5410251,X,snoRNA
ENSG00000265284,MIR4770,6383906,6383963,X,miRNA
ENSG00000263652,MIR548AX,11318614,11318686,X,miRNA
ENSG00000207332,RNU6-146P,3607258,3607365,X,snRNA
ENSG00000239333,RN7SL658P,16539137,16539439,X,misc_RNA
ENSG00000278218,,11148584,11148769,X,misc_RNA
ENSG00000207025,Y_RNA,18395994,18396095,X,misc_RNA
ENSG00000265144,MIR548AM,16627012,16627085,X,miRNA
ENSG00000200852,RNA5SP499,9133828,9133946,X,rRNA_pseudogene
ENSG00000252978,RN7SKP183,20452108,20452431,X,misc_RNA
ENSG00000206716,RNU6-133P,21214637,21214743,X,snRNA
ENSG00000206639,Y_RNA,21872707,21872808,X,misc_RNA
ENSG00000206733,RNU6-641P,36021939,36022045,X,snRNA
ENSG00000207122,RNU6-591P,39081180,39081285,X,snRNA
ENSG00000206983,RNU6-49P,37870109,37870215,X,snRNA
ENSG00000221466,MIR548AJ2,38023895,38023986,X,miRNA
ENSG00000252411,RNU6-1087P,35594173,35594273,X,snRNA
ENSG00000264618,RN7SL732P,39786524,39786823,X,misc_RNA
ENSG00000263730,MIR3937,39661216,39661321,X,miRNA
ENSG00000238730,RNU7-164P,40535502,40535563,X,snRNA
ENSG00000206896,RNU6-1124P,42174279,42174385,X,snRNA
ENSG00000212560,RNU6-630P,42139425,42139530,X,snRNA
ENSG00000199226,RNU6-50P,46517766,46517868,X,snRNA
ENSG00000277721,Metazoa_SRP,46553522,46553775,X,misc_RNA
ENSG00000278838,Metazoa_SRP,46073651,46073935,X,misc_RNA
ENSG00000200702,Y_RNA,44401603,44401704,X,misc_RNA
ENSG00000202495,Y_RNA,50171197,50171297,X,misc_RNA
ENSG00000207758,MIR532,50003148,50003238,X,miRNA
ENSG00000207768,MIR188,50003503,50003588,X,miRNA
ENSG00000207785,MIR500A,50008431,50008514,X,miRNA
ENSG00000208015,MIR362,50008964,50009028,X,miRNA
ENSG00000211538,MIR501,50009722,50009805,X,miRNA
ENSG00000239057,MIR500B,50010672,50010750,X,miRNA
ENSG00000207970,MIR660,50013241,50013337,X,miRNA
ENSG00000272080,MIR502,50014598,50014683,X,miRNA
ENSG00000244006,RN7SL799P,64210691,64210988,X,misc_RNA
ENSG00000284567,MIR223,66018870,66018979,X,miRNA
ENSG00000212434,U3,69692956,69693155,X,snoRNA
ENSG00000275335,MIR8088,52336557,52336642,X,miRNA
ENSG00000266328,MIR4536-2,55451495,55451582,X,miRNA
ENSG00000211991,MIR676,70022857,70022923,X,miRNA
ENSG00000199601,RNU6-562P,75202703,75202809,X,snRNA
ENSG00000283334,MIR4536-1,55451495,55451582,X,miRNA
ENSG00000201447,RNA5SP509,77066709,77066827,X,rRNA_pseudogene
ENSG00000285776,5S_rRNA,69672479,69672597,X,rRNA_pseudogene
ENSG00000273788,U3,72726122,72726337,X,snoRNA
ENSG00000283622,MIR4328,78901194,78901249,X,miRNA
ENSG00000202183,,82561201,82561347,X,snoRNA
ENSG00000239745,RN7SL790P,74390692,74390989,X,misc_RNA
ENSG00000283435,MIR1321,85835780,85835858,X,miRNA
ENSG00000200635,Y_RNA,55582733,55582834,X,misc_RNA
ENSG00000222440,RNU2-26P,91798093,91798283,X,snRNA
ENSG00000212495,RNU6-332P,94003815,94003922,X,snRNA
ENSG00000200422,,87146733,87146804,X,snoRNA
ENSG00000277717,U6,86481028,86481130,X,snRNA
ENSG00000201567,RNA5SP510,95582064,95582162,X,rRNA_pseudogene
ENSG00000221187,MIR548M,95063141,95063226,X,miRNA
ENSG00000252016,,88148792,88148918,X,snoRNA
ENSG00000283242,MIR384,76919273,76919360,X,miRNA
ENSG00000207995,MIR325,77005404,77005501,X,miRNA
ENSG00000201271,RNU1-112P,72740706,72740869,X,snRNA
ENSG00000223259,RNA5SP508,76655009,76655127,X,rRNA_pseudogene
ENSG00000199051,MIR361,85903636,85903707,X,miRNA
ENSG00000202410,Y_RNA,94178005,94178106,X,misc_RNA
ENSG00000199567,Y_RNA,86019608,86019715,X,misc_RNA
ENSG00000206826,RNU6-974P,82001220,82001327,X,snRNA
ENSG00000212546,RNU6-995P,80936434,80936540,X,snRNA
ENSG00000252810,RNU6-345P,101915589,101915695,X,snRNA
ENSG00000212623,RNU6-493P,80900757,80900864,X,snRNA
ENSG00000222667,RNU6-394P,66676258,66676364,X,snRNA
ENSG00000252296,,100100084,100100172,X,snoRNA
ENSG00000223260,RN7SKP194,96410432,96410782,X,misc_RNA
ENSG00000239008,,80857076,80857202,X,snoRNA
ENSG00000201443,RNU6-309P,108826764,108826869,X,snRNA
ENSG00000275110,,109054542,109054590,X,miRNA
ENSG00000222122,RNU6-648P,115032427,115032533,X,snRNA
ENSG00000271907,SNORA35B,115126316,115126444,X,snoRNA
ENSG00000212241,Y_RNA,115139030,115139123,X,misc_RNA
ENSG00000252441,,115545637,115545717,X,snoRNA
ENSG00000207515,RNU6-555P,90597235,90597340,X,snRNA
ENSG00000207363,Y_RNA,107901145,107901246,X,misc_RNA
ENSG00000242998,RN7SL379P,96023360,96023652,X,misc_RNA
ENSG00000206752,RNU6-1323P,116850839,116850945,X,snRNA
ENSG00000207033,RNU6-154P,116400848,116400953,X,snRNA
ENSG00000265456,MIR3672,121370972,121371053,X,miRNA
ENSG00000212321,U3,122840426,122840645,X,snoRNA
ENSG00000252930,RNU6-1015P,112919132,112919230,X,snRNA
ENSG00000207100,,133152754,133152892,X,snoRNA
ENSG00000252163,RN7SKP31,138397351,138397628,X,misc_RNA
ENSG00000216060,MIR934,136550878,136550960,X,miRNA
ENSG00000207041,RNU6-3P,141118030,141118136,X,snRNA
ENSG00000199878,RN7SKP149,143197248,143197591,X,misc_RNA
ENSG00000201594,RNA5SP517,146427456,146427572,X,rRNA_pseudogene
ENSG00000201000,RNA5SP516,142411053,142411171,X,rRNA_pseudogene
ENSG00000207866,MIR514A2,147281943,147282030,X,miRNA
ENSG00000207868,MIR514A1,147279247,147279344,X,miRNA
ENSG00000202473,RN7SKP81,143090347,143090677,X,misc_RNA
ENSG00000221081,MIR320D2,140926172,140926219,X,miRNA
ENSG00000239579,RN7SL325P,137595265,137595547,X,misc_RNA
ENSG00000252219,MIR892C,145992750,145992826,X,miRNA
ENSG00000207867,MIR514A3,147284641,147284728,X,miRNA
ENSG00000216075,MIR890,145994275,145994351,X,miRNA
ENSG00000222114,RNU6-985P,137687891,137687994,X,snRNA
ENSG00000216005,MIR888,145994784,145994860,X,miRNA
ENSG00000215943,MIR892A,145996669,145996743,X,miRNA
ENSG00000216098,MIR892B,145997198,145997274,X,miRNA
ENSG00000216064,MIR891B,146001053,146001131,X,miRNA
ENSG00000202199,RNU1-115P,133238657,133238816,X,snRNA
ENSG00000207641,MIR510,147272335,147272408,X,miRNA
ENSG00000216056,MIR891A,146027794,146027872,X,miRNA
ENSG00000199424,Y_RNA,136571705,136571815,X,misc_RNA
ENSG00000265789,MIR4330,151168222,151168326,X,miRNA
ENSG00000278724,Metazoa_SRP,151275509,151275789,X,misc_RNA
ENSG00000222313,RN7SKP267,148822164,148822448,X,misc_RNA
ENSG00000201912,RN7SKP189,145057108,145057437,X,misc_RNA
ENSG00000216171,MIR513C,147189704,147189787,X,miRNA
ENSG00000207871,MIR513B,147199044,147199127,X,miRNA
ENSG00000207873,MIR513A1,147213463,147213591,X,miRNA
ENSG00000207984,MIR513A2,147225826,147225952,X,miRNA
ENSG00000207731,MIR506,147230720,147230843,X,miRNA
ENSG00000207969,MIR507,147230984,147231077,X,miRNA
ENSG00000207589,MIR508,147236913,147237027,X,miRNA
ENSG00000252583,MIR514B,147250151,147250230,X,miRNA
ENSG00000212013,MIR509-2,147258760,147258850,X,miRNA
ENSG00000212014,MIR509-3,147259652,147259726,X,miRNA
ENSG00000208000,MIR509-1,147260532,147260625,X,miRNA
ENSG00000202051,RNU6-382P,147827279,147827384,X,snRNA
ENSG00000237623,NICN2P,47273366,47274390,X,processed_pseudogene
ENSG00000266158,RN7SL785P,47280811,47281063,X,misc_RNA
ENSG00000203402,,47297852,47298721,X,lncRNA
ENSG00000221459,SNORA11C,47388649,47388777,X,snoRNA
ENSG00000232009,,47389961,47392300,X,processed_pseudogene
ENSG00000226556,NPM1P49,47438736,47439774,X,processed_pseudogene
ENSG00000277605,Metazoa_SRP,47476822,47477152,X,misc_RNA
ENSG00000283743,,47575128,47628742,X,lncRNA
ENSG00000263858,MIR4769,47587429,47587505,X,miRNA
ENSG00000224656,SMSP1,47718002,47719099,X,processed_pseudogene
ENSG00000229968,,47776827,47778697,X,processed_pseudogene
ENSG00000188459,WASF4P,47803296,47804789,X,processed_pseudogene
ENSG00000224401,RPL7P57,47840963,47841702,X,processed_pseudogene
ENSG00000224208,ZCRB1P1,71314912,71315879,X,processed_pseudogene
ENSG00000275975,Metazoa_SRP,71368666,71368968,X,misc_RNA
ENSG00000229601,,71413834,71414086,X,processed_pseudogene
ENSG00000213018,PABPN1P1,71420083,71420514,X,processed_pseudogene
ENSG00000199751,Y_RNA,71491066,71491167,X,misc_RNA
ENSG00000215120,SOCS6P1,71527814,71530225,X,processed_pseudogene
ENSG00000186810,CXCR3,71615916,71618511,X,protein_coding
ENSG00000225008,TWF1P2,155290360,155291353,X,processed_pseudogene
ENSG00000228986,PHF10P1,155292169,155293432,X,processed_pseudogene
ENSG00000230491,SRD5A2P1,155310247,155310490,X,processed_pseudogene
ENSG00000221190,MIR1184-2,155383100,155383198,X,miRNA
ENSG00000221603,MIR1184-3,155457517,155457615,X,miRNA
ENSG00000277745,H2AB3,155459415,155460005,X,protein_coding
ENSG00000237801,AMD1P2,155828585,155829576,X,processed_pseudogene
ENSG00000237040,DPH3P2,155875636,155875885,X,processed_pseudogene
ENSG00000228410,ELOCP24,155978992,155979325,X,processed_pseudogene
ENSG00000223484,TRPC6P1,155985370,155986249,X,processed_pseudogene
ENSG00000270726,,156004218,156022236,X,lncRNA
ENSG00000227159,DDX11L16,156025664,156027877,X,unprocessed_pseudogene
ENSG00000102076,OPN1LW,154144243,154159032,X,protein_coding
ENSG00000268221,OPN1MW,154182596,154196861,X,protein_coding
ENSG00000274962,TEX28P1,154196471,154213487,X,unprocessed_pseudogene
ENSG00000277009,TEX28P3,154233615,154251288,X,unprocessed_pseudogene
ENSG00000207165,SNORA70,154400281,154400415,X,snoRNA
ENSG00000276350,MIR6858,154450320,154450386,X,miRNA
ENSG00000102178,UBL4A,154483717,154486615,X,protein_coding
ENSG00000264484,RN7SL697P,154495815,154496113,X,misc_RNA
ENSG00000273041,ATF4P2,154580926,154581998,X,processed_pseudogene
ENSG00000232155,,154605858,154605950,X,processed_pseudogene
ENSG00000228464,,26345236,26346242,X,processed_pseudogene
ENSG00000231388,FMN2P1,26496936,26505603,X,processed_pseudogene
ENSG00000236160,,26657291,26657507,X,processed_pseudogene
ENSG00000216938,RPL7P58,26686026,26687955,X,processed_pseudogene
ENSG00000236683,HMGA1P1,26748029,26749090,X,processed_pseudogene
ENSG00000252491,RNU1-142P,26790142,26790286,X,snRNA
ENSG00000283446,,85143427,85156444,X,unprocessed_pseudogene
ENSG00000276391,,85207187,85210649,X,processed_pseudogene
ENSG00000226280,,67373573,67375520,X,processed_pseudogene
ENSG00000233710,,67533163,67533987,X,processed_pseudogene
ENSG00000234201,BMI1P1,67791955,67792895,X,processed_pseudogene
ENSG00000222419,RNA5SP511,103850797,103850911,X,rRNA_pseudogene
ENSG00000231787,H2BP9,103904322,103904754,X,processed_pseudogene
ENSG00000276298,,103909126,103909449,X,unprocessed_pseudogene
ENSG00000234345,ELF2P1,103910305,103911352,X,processed_pseudogene
ENSG00000230312,SLC25A53P1,103928099,103929017,X,processed_pseudogene
ENSG00000227067,DPPA3P1,103961811,103962279,X,processed_pseudogene
ENSG00000282840,MSL3-DT,11668401,11757718,X,lncRNA
ENSG00000223418,LIMK2P1,11704123,11705590,X,processed_pseudogene
ENSG00000005302,MSL3,11758159,11775772,X,protein_coding
ENSG00000206792,Y_RNA,12054824,12054926,X,misc_RNA
ENSG00000206795,Y_RNA,12149126,12149238,X,misc_RNA
ENSG00000223487,FRMPD4-AS1,12373167,12375133,X,lncRNA
ENSG00000231211,RPL17P49,12395757,12396167,X,processed_pseudogene
ENSG00000273800,,12583415,12583526,X,unprocessed_pseudogene
ENSG00000271814,RN7SKP290,12614003,12614197,X,misc_RNA
ENSG00000229083,PSMA6P2,12825840,12826833,X,processed_pseudogene
ENSG00000230691,MRPL35P4,12844865,12845430,X,processed_pseudogene
ENSG00000196664,TLR7,12867072,12890361,X,protein_coding
ENSG00000233338,TLR8-AS1,12902817,12908333,X,lncRNA
ENSG00000250084,,52448587,52451138,X,unprocessed_pseudogene
ENSG00000278358,,52480836,52481131,X,processed_pseudogene
ENSG00000278160,,52481515,52483950,X,unprocessed_pseudogene
ENSG00000275643,RBM22P6,52485046,52485912,X,processed_pseudogene
ENSG00000204379,XAGE1A,52495808,52500812,X,protein_coding
ENSG00000223395,RBM22P7,52509903,52510182,X,processed_pseudogene
ENSG00000277289,,52531709,52532051,X,processed_pseudogene
ENSG00000231593,,52561769,52562301,X,unprocessed_pseudogene
ENSG00000185319,SSX14P,52598494,52603289,X,unprocessed_pseudogene
ENSG00000197185,SSX11P,52606535,52611758,X,unprocessed_pseudogene
ENSG00000234792,,52612656,52613523,X,processed_pseudogene
ENSG00000187754,SSX7,52644061,52654900,X,protein_coding
ENSG00000228354,,52655207,52657254,X,processed_pseudogene
ENSG00000222608,RNA5SP504,52665231,52665347,X,rRNA_pseudogene
ENSG00000225508,SSX15P,52672718,52677051,X,unprocessed_pseudogene
ENSG00000237275,S100A11P10,52687363,52687633,X,processed_pseudogene
ENSG00000223958,,52707602,52709933,X,processed_pseudogene
ENSG00000225397,,52722338,52722524,X,processed_pseudogene
ENSG00000229826,,52735901,52736107,X,processed_pseudogene
ENSG00000269281,S100A11P8,52770809,52771080,X,processed_pseudogene
ENSG00000226867,SSX21P,52781452,52785786,X,unprocessed_pseudogene
ENSG00000204363,SPANXN5,52796144,52797427,X,protein_coding
ENSG00000224781,EIF4A2P4,52832704,52833899,X,processed_pseudogene
ENSG00000220541,PPIHP2,113522482,113522989,X,processed_pseudogene
ENSG00000270524,QTRT1P1,113882590,113883667,X,processed_pseudogene
ENSG00000201674,U3,113944186,113944399,X,snoRNA
ENSG00000207220,RNU1-57P,113949917,113950082,X,snRNA
ENSG00000240327,RN7SL93P,113976341,113976633,X,misc_RNA
ENSG00000212611,SNORD30,114017033,114017102,X,snoRNA
ENSG00000211578,MIR766,119646738,119646848,X,miRNA
ENSG00000214321,CBX1P4,17282637,17283093,X,processed_pseudogene
ENSG00000238764,,17357930,17358033,X,snoRNA
ENSG00000265465,MIR4768,17425881,17425954,X,miRNA
ENSG00000235834,,17528435,17587160,X,lncRNA
ENSG00000230020,NHS-AS1,17552349,17557387,X,lncRNA
ENSG00000226153,CHP1P3,17705339,17705691,X,processed_pseudogene
ENSG00000227873,FAM136GP,17769005,17769398,X,processed_pseudogene
ENSG00000277150,F8A3,155456914,155458620,X,protein_coding
ENSG00000184388,PABPC1L2B,73002939,73006106,X,protein_coding
ENSG00000175718,RBMXL3,115189410,115192868,X,protein_coding
ENSG00000268447,SSX2B,52751132,52790305,X,protein_coding
ENSG00000275520,FAM236A,72938163,72938958,X,protein_coding
ENSG00000283463,HSFX4,149929573,149931287,X,protein_coding
ENSG00000063587,ZNF275,153334147,153360110,X,protein_coding
ENSG00000147117,ZNF157,47370578,47414498,X,protein_coding
ENSG00000130054,NALF2,69504326,69532508,X,protein_coding
ENSG00000235961,PNMA6A,153072454,153075019,X,protein_coding
ENSG00000199564,RNA5SP502,41292798,41292916,X,rRNA_pseudogene
ENSG00000238426,Y_RNA,41316488,41316589,X,misc_RNA
ENSG00000226641,SHISA5P1,41322601,41323111,X,processed_pseudogene
ENSG00000264573,RN7SL15P,41345576,41345876,X,misc_RNA
ENSG00000225238,GEMIN7P1,41472264,41472653,X,processed_pseudogene
ENSG00000212207,RNU6-1321P,41570923,41571029,X,snRNA
ENSG00000217624,YWHAZP10,41675760,41676494,X,processed_pseudogene
ENSG00000242559,RN7SL144P,41683168,41683462,X,misc_RNA
ENSG00000229822,RPS15AP39,41748222,41748608,X,processed_pseudogene
ENSG00000237875,,41790192,41790250,X,processed_pseudogene
ENSG00000251807,RNU6-202P,41919254,41919349,X,snRNA
ENSG00000237106,FABP5P15,77727867,77728080,X,processed_pseudogene
ENSG00000200906,RNU6-854P,77837289,77837395,X,snRNA
ENSG00000263410,RN7SL460P,77885377,77885634,X,misc_RNA
ENSG00000234391,,48306769,48309055,X,processed_pseudogene
ENSG00000227302,SSX19P,48322349,48326683,X,unprocessed_pseudogene
ENSG00000230100,,48333675,48334439,X,lncRNA
ENSG00000270747,S100A11P9,48336899,48337169,X,processed_pseudogene
ENSG00000165584,SSX3,48346427,48356707,X,protein_coding
ENSG00000225055,,48357125,48359495,X,processed_pseudogene
ENSG00000234448,,48371905,48372095,X,processed_pseudogene
ENSG00000268009,SSX4,48383516,48393347,X,protein_coding
ENSG00000231603,,48412303,48415285,X,processed_pseudogene
ENSG00000231489,,48423342,48423468,X,processed_pseudogene
ENSG00000226971,,48446893,48448879,X,processed_pseudogene
ENSG00000286268,,48521806,48545469,X,protein_coding
ENSG00000276823,Metazoa_SRP,48524480,48524806,X,misc_RNA
ENSG00000202469,Y_RNA,10061222,10061323,X,misc_RNA
ENSG00000227042,,10242339,10365323,X,lncRNA
ENSG00000207202,RNU6-800P,10582817,10582919,X,snRNA
ENSG00000165195,PIGA,15319452,15335554,X,protein_coding
ENSG00000234019,,53093710,53094858,X,lncRNA
ENSG00000235224,,53113018,53113274,X,processed_pseudogene
ENSG00000231340,ACTG1P10,53142832,53143913,X,processed_pseudogene
ENSG00000227329,,53164391,53164557,X,processed_pseudogene
ENSG00000276575,MIR6895,53195411,53195488,X,miRNA
ENSG00000277474,MIR6894,53198889,53198945,X,miRNA
ENSG00000235262,KDM5C-IT1,53212408,53214679,X,lncRNA
ENSG00000226299,RPSAP62,53322990,53323822,X,processed_pseudogene
ENSG00000207408,Y_RNA,53324562,53324674,X,misc_RNA
ENSG00000236571,,53337783,53337973,X,processed_pseudogene
ENSG00000234413,MPV17L2P1,53340986,53341505,X,processed_pseudogene
ENSG00000278204,MIR6857,53405673,53405765,X,miRNA
ENSG00000233250,,53432722,53433032,X,lncRNA
ENSG00000235416,TIPINP1,53456273,53457029,X,processed_pseudogene
ENSG00000199422,VTRNA3-1P,53462209,53462310,X,misc_RNA
ENSG00000224942,EEDP1,140397062,140398311,X,processed_pseudogene
ENSG00000275268,U7,140451148,140451208,X,snRNA
ENSG00000225758,RPS17P17,140470866,140471274,X,processed_pseudogene
ENSG00000134595,SOX3,140502985,140505069,X,protein_coding
ENSG00000237793,RPL18AP16,153662162,153662692,X,processed_pseudogene
ENSG00000244335,RN7SL687P,153666226,153666510,X,misc_RNA
ENSG00000184844,CYCSP45,153841251,153841565,X,processed_pseudogene
ENSG00000284987,,153872221,153909223,X,protein_coding
ENSG00000265176,MIR3202-1,153981097,153981177,X,miRNA
ENSG00000283694,MIR3202-2,153981098,153981176,X,miRNA
ENSG00000284286,MIR718,154019920,154019989,X,miRNA
ENSG00000202024,RNU6-934P,101325404,101325510,X,snRNA
ENSG00000257529,RPL36A-HNRNPH2,101391011,101412297,X,protein_coding
ENSG00000217889,KRT18P48,153604497,153605348,X,processed_pseudogene
ENSG00000229324,NUTF2P7,71016531,71016905,X,processed_pseudogene
ENSG00000212605,RNU1-56P,71020275,71020438,X,snRNA
ENSG00000204165,CXorf65,71103889,71106788,X,protein_coding
ENSG00000285171,,71103987,71111575,X,protein_coding
ENSG00000271886,MIR98,53556223,53556341,X,miRNA
ENSG00000208012,MIRLET7F2,53557192,53557274,X,miRNA
ENSG00000230673,PABPC1P3,74583088,74583546,X,processed_pseudogene
ENSG00000199885,RNU6-330P,74680053,74680159,X,snRNA
ENSG00000271589,,74769639,74769798,X,processed_pseudogene
ENSG00000050030,NEXMIF,74732856,74925472,X,protein_coding
ENSG00000214016,RPSAP61,44741087,44741964,X,processed_pseudogene
ENSG00000242065,RN7SL291P,44772773,44773061,X,misc_RNA
ENSG00000189037,DUSP21,44844021,44844888,X,protein_coding
ENSG00000230934,,71691932,71692179,X,processed_pseudogene
ENSG00000237182,,71736454,71736703,X,processed_pseudogene
ENSG00000237717,,71744828,71745077,X,processed_pseudogene
ENSG00000224617,,71789386,71789636,X,processed_pseudogene
ENSG00000229030,,71848775,71849004,X,processed_pseudogene
ENSG00000230162,CT45A11P,135942478,135947139,X,unprocessed_pseudogene
ENSG00000219930,GAPDHP67,136077844,136078631,X,processed_pseudogene
ENSG00000231513,E2F6P4,136097835,136098348,X,processed_pseudogene
ENSG00000239080,,136134317,136134420,X,snoRNA
ENSG00000214720,KRT18P49,107428630,107429461,X,processed_pseudogene
ENSG00000147224,PRPS1,107628428,107651993,X,protein_coding
ENSG00000275113,GAGE2E,49341192,49345922,X,protein_coding
ENSG00000236737,GAGE12B,49529869,49529985,X,protein_coding
ENSG00000213856,VDAC1P2,49632500,49633349,X,processed_pseudogene
ENSG00000227391,SALL1P1,49664844,49668680,X,processed_pseudogene
ENSG00000068985,PAGE1,49687447,49695984,X,protein_coding
ENSG00000252454,MIR2114,150228004,150228083,X,miRNA
ENSG00000234825,XRCC6P2,150231075,150232896,X,processed_pseudogene
ENSG00000271339,,136788286,136788787,X,processed_pseudogene
ENSG00000231164,RPL7P56,136791064,136791780,X,processed_pseudogene
ENSG00000232611,,136840931,136847797,X,lncRNA
ENSG00000225400,RAB28P5,136847384,136848034,X,processed_pseudogene
ENSG00000232379,RPL22P23,136947748,136948133,X,processed_pseudogene
ENSG00000237307,SRRM1P3,136976417,136985705,X,processed_pseudogene
ENSG00000165370,GPR101,137023929,137033995,X,protein_coding
ENSG00000224031,TCEAL3-AS1,103626076,103626492,X,lncRNA
ENSG00000102001,CACNA1F,49205063,49233371,X,protein_coding
ENSG00000230216,HSPB1P2,49233956,49234501,X,processed_pseudogene
ENSG00000270012,,49273054,49275768,X,lncRNA
ENSG00000286031,,49279677,49281440,X,lncRNA
ENSG00000277541,ZNF630-AS1,48056310,48066583,X,lncRNA
ENSG00000230241,,48135658,48136159,X,processed_pseudogene
ENSG00000233139,,48153868,48155941,X,processed_pseudogene
ENSG00000201517,RNU6-707P,48153980,48154074,X,snRNA
ENSG00000225198,SSX13P,48156367,48166350,X,unprocessed_pseudogene
ENSG00000238032,S100A11P5,48177731,48178023,X,processed_pseudogene
ENSG00000234780,,48197221,48199431,X,processed_pseudogene
ENSG00000252856,RNA5SP503,48206258,48206374,X,rRNA_pseudogene
ENSG00000204368,SSX20P,48212791,48218010,X,processed_pseudogene
ENSG00000231568,S100A11P7,48228833,48228959,X,processed_pseudogene
ENSG00000229662,,48244894,48245745,X,processed_pseudogene
ENSG00000237345,,48279423,48281792,X,processed_pseudogene
ENSG00000188021,UBQLN2,56563627,56567868,X,protein_coding
ENSG00000085224,ATRX,77504880,77786233,X,protein_coding
ENSG00000101842,VSIG1,108044970,108079184,X,protein_coding
ENSG00000000005,TNMD,100584936,100599885,X,protein_coding
ENSG00000238116,RAD21P1,100801188,100803060,X,processed_pseudogene
ENSG00000202231,,100822620,100822752,X,snoRNA
ENSG00000237708,SPIN2P1,57068914,57069685,X,processed_pseudogene
ENSG00000222303,RNU6-935P,50649641,50649740,X,snRNA
ENSG00000287160,,130497785,130520309,X,lncRNA
ENSG00000271677,,130545586,130546474,X,unprocessed_pseudogene
ENSG00000238188,SPRING1P2,130645723,130646325,X,processed_pseudogene
ENSG00000147256,ARHGAP36,131058346,131089885,X,protein_coding
ENSG00000241198,RN7SL191P,131134086,131134390,X,misc_RNA
ENSG00000269405,NXF2,102247167,102326722,X,protein_coding
ENSG00000273746,,102259043,102261692,X,unprocessed_pseudogene
ENSG00000231590,,102425343,102428080,X,unitary_pseudogene
ENSG00000271005,CTHRC1P1,79177200,79177668,X,processed_pseudogene
ENSG00000285602,,15561047,15675608,X,protein_coding
ENSG00000237539,,15646167,15646875,X,processed_pseudogene
ENSG00000200620,,15716208,15716346,X,snoRNA
ENSG00000281371,INE2,15785716,15787589,X,lncRNA
