Gene stable ID,Gene start (bp),Gene end (bp),Chromosome/scaffold name,Gene name
ENSG00000184634,71118543,71144103,X,MED12
ENSG00000232119,120594010,120621159,X,MCTS1
ENSG00000188937,41445383,41475710,X,NYX
ENSG00000213397,153447655,153495516,X,HAUS7
ENSG00000189064,49589496,49596827,X,GAGE2A
ENSG00000130829,153642401,153651326,X,DUSP9
ENSG00000174460,118823824,118826968,X,ZCCHC12
ENSG00000147378,151714192,151723194,X,FATE1
ENSG00000126953,101345652,101349001,X,TIMM8A
ENSG00000125931,72301638,72309652,X,CITED1
ENSG00000005022,119468395,119471396,X,SLC25A5
ENSG00000091482,21705978,21758176,X,SMPX
ENSG00000068354,48539684,48562609,X,TBC1D25
ENSG00000063601,150692971,150765165,X,MTMR1
ENSG00000196459,13712244,13734635,X,TRAPPC2
ENSG00000004961,11111299,11123086,X,HCCS
ENSG00000086712,16786432,16844519,X,TXLNG
ENSG00000186376,135248590,135344113,X,ZNF75D
ENSG00000147121,46447255,46497422,X,KRBOX4
ENSG00000169891,16946658,17153272,X,REPS2
ENSG00000124333,155881227,155943769,X,VAMP7
ENSG00000102362,100671783,100732151,X,SYTL4
ENSG00000049769,49269793,49301461,X,PPP1R3F
ENSG00000172476,103496541,103526752,X,RAB40A
ENSG00000165775,155025980,155060304,X,FUNDC2
ENSG00000198932,102650345,102659083,X,GPRASP1
ENSG00000102010,15464246,15556529,X,BMX
ENSG00000126945,101408114,101414137,X,HNRNPH2
ENSG00000102081,147911858,147951125,X,FMR1
ENSG00000131269,75051048,75156732,X,ABCB7
ENSG00000147394,152896695,152973511,X,ZNF185
ENSG00000147065,65588377,65741936,X,MSN
ENSG00000131089,63634967,63809274,X,ARHGEF9
ENSG00000198753,153764186,153779346,X,PLXNB3
ENSG00000089289,70133345,70166324,X,IGBP1
ENSG00000179222,51803007,51902357,X,MAGED1
ENSG00000188917,101009346,101052135,X,TRMT2B
ENSG00000160219,154675249,154751583,X,GAB3
ENSG00000067842,153517637,153582939,X,ATP2B3
ENSG00000184216,154010504,154019927,X,IRAK1
ENSG00000131080,66594384,66639298,X,EDA2R
ENSG00000269743,104099214,104157009,X,SLC25A53
ENSG00000101938,110673856,110796192,X,CHRDL1
ENSG00000102158,77825747,77899271,X,MAGT1
ENSG00000078596,79360384,79367697,X,ITM2A
ENSG00000182287,15825806,15854931,X,AP1S2
ENSG00000198034,72255679,72277312,X,RPS4X
ENSG00000102316,54807599,54816015,X,MAGED2
ENSG00000158427,103918896,103966712,X,TMSB15B
ENSG00000071859,154444103,154450654,X,FAM50A
ENSG00000184905,102125130,102140426,X,TCEAL2
ENSG00000010671,101349338,101390796,X,BTK
ENSG00000047230,16587950,16712976,X,CTPS2
ENSG00000101972,123960212,124422664,X,STAG2
ENSG00000198814,30653359,30731462,X,GK
ENSG00000158301,102712056,102717733,X,GPRASP2
ENSG00000071553,154428618,154436517,X,ATP6AP1
ENSG00000147133,71366131,71532374,X,TAF1
ENSG00000129680,136213220,136256482,X,MAP7D3
ENSG00000123130,23699396,23766475,X,ACOT9
ENSG00000179304,52891306,52908560,X,FAM156B
ENSG00000133134,103309345,103311298,X,BEX2
ENSG00000184515,102153464,102156017,X,BEX5
ENSG00000077264,110944285,111227361,X,PAK3
ENSG00000087842,15384799,15493635,X,PIR
ENSG00000068400,48973719,49002265,X,GRIPAP1
ENSG00000101843,108084202,108091619,X,PSMD10
ENSG00000165359,135520622,135582534,X,INTS6L
ENSG00000073464,10156943,10237660,X,CLCN4
ENSG00000010404,149476988,149521096,X,IDS
ENSG00000180815,19360056,19515508,X,MAP3K15
ENSG00000131725,118345968,118450285,X,WDR44
ENSG00000131828,19343893,19361718,X,PDHA1
ENSG00000072501,53374149,53422728,X,SMC1A
ENSG00000125962,102599168,102604159,X,ARMCX5
ENSG00000158423,53421951,53431624,X,RIBC1
ENSG00000186787,57118551,57121840,X,SPIN2B
ENSG00000101811,100820369,100841523,X,CSTF2
ENSG00000072506,53431258,53434371,X,HSD17B10
ENSG00000169239,15688830,15788411,X,CA5B
ENSG00000125354,119615724,119693949,X,SEPTIN6
ENSG00000165197,15345594,15384509,X,VEGFD
ENSG00000147403,154389955,154409168,X,RPL10
ENSG00000155962,155276211,155334673,X,CLIC2
ENSG00000188153,108439745,108697547,X,COL4A5
ENSG00000005889,24148976,24216255,X,ZFX
ENSG00000171100,150568417,150673143,X,MTM1
ENSG00000122126,129539849,129592561,X,OCRL
ENSG00000198918,119786497,119791662,X,RPL39
ENSG00000156298,38561498,38689249,X,TSPAN7
ENSG00000125355,120258650,120311556,X,TMEM255A
ENSG00000130119,54529900,54621565,X,GNL3L
ENSG00000101940,48589838,48608869,X,WDR13
ENSG00000102218,46836928,46889240,X,RP2
ENSG00000082458,70444835,70505490,X,DLG3
ENSG00000079482,67949349,68434120,X,OPHN1
ENSG00000147160,70040542,70049988,X,AWAT2
ENSG00000069509,44523639,44542972,X,FUNDC1
ENSG00000267978,149581653,149587459,X,MAGEA9B
ENSG00000102038,129446501,129523947,X,SMARCA1
ENSG00000007952,100843324,100874464,X,NOX1
ENSG00000170965,134565837,134764355,X,PLAC1
ENSG00000008056,47571901,47619858,X,SYN1
ENSG00000157514,107713221,107777342,X,TSC22D3
ENSG00000165259,84317874,84502496,X,HDX
ENSG00000221994,47983356,48071893,X,ZNF630
ENSG00000078061,47561182,47571921,X,ARAF
ENSG00000068438,48476021,48486364,X,FTSJ1
ENSG00000102265,47582408,47586789,X,TIMP1
ENSG00000102144,77910739,78129295,X,PGK1
ENSG00000125351,119833808,119853083,X,UPF3B
ENSG00000068308,48922024,48958386,X,OTUD5
ENSG00000101966,123859693,123913972,X,XIAP
ENSG00000123560,103769047,103792677,X,PLP1
ENSG00000101844,108091668,108154671,X,ATG4A
ENSG00000165675,130622325,130903272,X,ENOX2
ENSG00000102317,48574056,48581162,X,RBM3
ENSG00000131831,17799788,17861337,X,RAI2
ENSG00000094631,48801377,48824986,X,HDAC6
ENSG00000262919,153587925,153600045,X,CCNQ
ENSG00000005893,120426148,120469365,X,LAMP2
ENSG00000173681,19912860,19991097,X,BCLAF3
ENSG00000126759,47621537,47630305,X,CFP
ENSG00000003096,117897794,118117340,X,KLHL13
ENSG00000177189,20149911,20267519,X,RPS6KA3
ENSG00000022267,136146702,136211359,X,FHL1
ENSG00000076716,133300103,133416214,X,GPC4
ENSG00000183943,3604340,3713649,X,PRKX
ENSG00000068366,109624244,109733403,X,ACSL4
ENSG00000130826,154762742,154777697,X,DKC1
ENSG00000198960,101615118,101618003,X,ARMCX6
ENSG00000154545,52184767,52192268,X,MAGED4
ENSG00000133169,103062645,103064342,X,BEX1
ENSG00000147003,15627085,15675377,X,CLTRN
ENSG00000197021,149929527,149938831,X,EOLA2
ENSG00000196998,49074433,49101203,X,WDR45
ENSG00000130234,15494566,15607236,X,ACE2
ENSG00000130985,47190713,47215173,X,UBA1
ENSG00000196507,103607451,103629690,X,TCEAL3
ENSG00000102181,150766336,150898816,X,CD99L2
ENSG00000044446,18892298,18984988,X,PHKA2
ENSG00000147274,136848004,136880764,X,RBMX
ENSG00000006756,2903972,2929405,X,ARSD
ENSG00000173198,78271468,78327691,X,CYSLTR1
ENSG00000123595,13689122,13710504,X,RAB9A
ENSG00000101892,120362085,120383249,X,ATP1B4
ENSG00000130827,154458280,154477779,X,PLXNA3
ENSG00000130822,153669730,153689033,X,PNCK
ENSG00000130830,154778684,154821039,X,MPP1
ENSG00000130988,47078190,47094419,X,RGN
ENSG00000129675,136665547,136781688,X,ARHGEF6
ENSG00000130821,153687926,153696591,X,SLC6A8
ENSG00000120280,30557707,30577766,X,TASL
ENSG00000017483,48458537,48470554,X,SLC38A5
ENSG00000102172,21940709,21994837,X,SMS
ENSG00000101945,48695554,48709016,X,SUV39H1
ENSG00000101883,120109050,120245267,X,RHOXF1
ENSG00000147044,41514934,41923660,X,CASK
ENSG00000156531,134373286,134428792,X,PHF6
ENSG00000171659,41688973,41698371,X,GPR34
ENSG00000089472,66162483,66268910,X,HEPH
ENSG00000156697,129906121,129929761,X,UTP14A
ENSG00000268350,52926402,52995564,X,FAM156A
ENSG00000157600,110002631,110184260,X,TMEM164
ENSG00000101888,109535781,109544698,X,NXT2
ENSG00000196338,71143286,71175255,X,NLGN3
ENSG00000123575,104166453,104195902,X,FAM199X
ENSG00000002586,2690988,2741312,X,CD99
ENSG00000123496,115003975,115019977,X,IL13RA2
ENSG00000056998,2828571,2890109,X,GYG2
ENSG00000102034,130063955,130110904,X,ELF4
ENSG00000182378,276322,303358,X,PLCXD1
ENSG00000067829,153785735,153794535,X,IDH3G
ENSG00000147099,72329516,72573101,X,HDAC8
ENSG00000184343,153781001,153785768,X,SRPK3
ENSG00000067177,72578814,72714327,X,PHKA1
ENSG00000131263,74582976,74614627,X,RLIM
ENSG00000071889,154506159,154516882,X,FAM3A
ENSG00000102241,136496932,136513181,X,HTATSF1
ENSG00000215301,41333348,41364472,X,DDX3X
ENSG00000247746,55484616,55489874,X,USP51
ENSG00000083750,55717743,55758774,X,RRAGB
ENSG00000147140,71254270,71301522,X,NONO
ENSG00000130962,37349309,37492702,X,PRRG1
ENSG00000101928,134887613,134915470,X,MOSPD1
ENSG00000102349,56232356,56291531,X,KLF8
ENSG00000126895,153902531,153907166,X,AVPR2
ENSG00000101997,49235444,49250526,X,CCDC22
ENSG00000172534,153946434,153972427,X,HCFC1
ENSG00000012211,49174802,49186528,X,PRICKLE3
ENSG00000182162,1462572,1537187,X,P2RY8
ENSG00000102401,101622797,101627843,X,ARMCX3
ENSG00000133142,103576231,103590165,X,TCEAL4
ENSG00000147118,47974851,48004375,X,ZNF182
ENSG00000158526,54440402,54448032,X,TSR2
ENSG00000182916,103330178,103332326,X,TCEAL7
ENSG00000185973,155488606,155719107,X,TMLHE
ENSG00000268104,116436606,116461458,X,SLC6A14
ENSG00000068394,49113396,49123746,X,GPKOW
ENSG00000176896,13653078,13681964,X,TCEANC
ENSG00000147100,74421383,74533918,X,SLC16A2
ENSG00000175556,118974614,119022925,X,LONRF3
ENSG00000197565,108155607,108439497,X,COL4A6
ENSG00000102409,103215068,103217246,X,BEX4
ENSG00000077279,111293779,111412429,X,DCX
ENSG00000155622,52368577,52375680,X,XAGE2
ENSG00000147041,38006515,38128819,X,SYTL5
ENSG00000183690,44146255,44343850,X,EFHC2
ENSG00000069535,43766400,43882559,X,MAOB
ENSG00000101911,12791355,12824223,X,PRPS2
ENSG00000101846,7147237,7804358,X,STS
ENSG00000130021,6667865,7148165,X,PUDP
ENSG00000171155,120625674,120630054,X,C1GALT1C1
ENSG00000131171,81202005,81298547,X,SH3BGRL
ENSG00000123570,103822327,103835153,X,RAB9B
ENSG00000187243,52061827,52069272,X,MAGED4B
ENSG00000203879,154436600,154443467,X,GDI1
ENSG00000169249,15790106,15830694,X,ZRSR2
ENSG00000126947,101550411,101554704,X,ARMCX1
ENSG00000185291,1335025,1382689,X,IL3RA
ENSG00000172465,103628701,103630958,X,TCEAL1
ENSG00000157502,106168304,106208963,X,PWWP3B
ENSG00000196924,154348524,154374638,X,FLNA
ENSG00000165192,15281697,15315640,X,ASB11
ENSG00000179542,143622790,143636101,X,SLITRK4
ENSG00000198689,135973841,136047269,X,SLC9A6
ENSG00000131724,118727133,118794535,X,IL13RA1
ENSG00000102125,154409456,154421726,X,TAFAZZIN
ENSG00000046647,13998099,14029928,X,GEMIN8
ENSG00000013563,154401236,154412114,X,DNASE1L1
ENSG00000089682,107052095,107118823,X,RBM41
ENSG00000102312,48508574,48520814,X,PORCN
ENSG00000102103,48890197,48903640,X,PQBP1
ENSG00000000003,100627108,100639991,X,TSPAN6
ENSG00000166432,101882288,101932090,X,ZMAT1
ENSG00000133131,106813871,107000254,X,MORC4
ENSG00000198157,81112915,81202016,X,HMGN5
ENSG00000197779,47836471,48002561,X,ZNF81
ENSG00000147251,118495814,118686974,X,DOCK11
ENSG00000188706,129803288,129844215,X,ZDHHC9
ENSG00000185985,145817819,145829856,X,SLITRK2
ENSG00000147255,131273506,131578899,X,IGSF1
ENSG00000197620,149536605,149550510,X,EOLA1
ENSG00000184205,53082326,53088541,X,TSPYL2
ENSG00000101882,119920672,119943751,X,NKAP
ENSG00000178605,303346,318846,X,GTPBP6
ENSG00000094841,75156388,75304885,X,UPRT
ENSG00000169100,1386133,1392929,X,SLC25A6
ENSG00000182872,47144284,47186814,X,RBM10
ENSG00000147050,44873130,45112779,X,KDM6A
ENSG00000169093,1403138,1453786,X,ASMTL
ENSG00000101951,49793653,49834264,X,PAGE4
ENSG00000189221,43654907,43746821,X,MAOA
ENSG00000189186,27590281,27749942,X,DCAF8L2
ENSG00000120509,70281118,70290596,X,PDZD11
ENSG00000046651,13734675,13777955,X,OFD1
ENSG00000102109,48831088,48835632,X,PCSK1N
ENSG00000013619,150361422,150514178,X,MAMLD1
ENSG00000102054,16839283,16870372,X,RBBP7
ENSG00000269335,154541179,154565047,X,IKBKG
ENSG00000160211,154517825,154547584,X,G6PD
ENSG00000165168,37780018,37816994,X,CYBB
ENSG00000102383,75368427,75523502,X,ZDHHC15
ENSG00000147124,47444693,47483247,X,ZNF41
ENSG00000102003,49187807,49200218,X,SYP
ENSG00000122145,80014753,80031908,X,TBX22
ENSG00000185825,153698006,153725957,X,BCAP31
ENSG00000155659,66021738,66040125,X,VSIG4
ENSG00000169895,16719545,16765340,X,SYAP1
ENSG00000157399,2934045,2968475,X,ARSL
ENSG00000089820,153907367,153934999,X,ARHGAP4
ENSG00000101986,153724495,153744755,X,ABCD1
ENSG00000067445,54920462,54931436,X,TRO
ENSG00000147155,48521089,48528716,X,EBP
ENSG00000198223,1268779,1325373,X,CSF2RA
ENSG00000184831,23833353,23908070,X,APOO
ENSG00000180879,153793516,153798505,X,SSR4
ENSG00000147383,152830967,152869729,X,NSDHL
ENSG00000126767,47631621,47650604,X,ELK1
ENSG00000101955,38149336,38220941,X,SRPX
ENSG00000102024,115560928,115650861,X,PLS3
ENSG00000165704,134460155,134520513,X,HPRT1
ENSG00000184368,20006713,20117065,X,MAP7D2
ENSG00000102226,47232866,47248328,X,USP11
ENSG00000101849,9463258,9741037,X,TBL1X
ENSG00000080572,107206611,107244247,X,DNAAF6
ENSG00000147166,71301747,71305371,X,ITGB1BP2
ENSG00000147010,19533977,19887650,X,SH3KBP1
ENSG00000125675,123184023,123490915,X,GRIA3
ENSG00000134594,130171950,130184874,X,RAB33A
ENSG00000123562,103675360,103688158,X,MORF4L2
ENSG00000102225,47217860,47230000,X,CDK16
ENSG00000180772,116170744,116174974,X,AGTR2
ENSG00000184867,101655157,101659924,X,ARMCX2
ENSG00000173698,18989307,19122956,X,ADGRG2
ENSG00000155959,155197007,155239841,X,VBP1
ENSG00000197976,1591604,1602532,X,AKAP17A
ENSG00000185753,40626921,40647569,X,CXorf38
ENSG00000182492,153488654,153510299,X,BGN
ENSG00000124486,41085431,41236579,X,USP9X
ENSG00000130741,24054911,24078810,X,EIF2S3
ENSG00000187325,78129748,78139688,X,TAF9B
ENSG00000001497,65438549,65534818,X,LAS1L
ENSG00000174010,23983716,24027186,X,KLHL15
ENSG00000101868,24693864,24996986,X,POLA1
ENSG00000147180,85243839,85273422,X,ZNF711
ENSG00000165591,57286632,57490641,X,FAAH2
ENSG00000182220,40579372,40606848,X,ATP6AP2
